Project number,title,mentioned in paper,reason for noninclusion,Output description,Output category (paper),language,Tools,data,main technique,main technique (text-gen) (paper),has narrative in output (only text category output),main technique (narrative gen) (paper),user,created_at,updated_at,html_url
6,The League of Extraordinarily Dull Gentlemen,X,,story,text,"Samovar, Python",-,-,reasoning,"reasoning, logic programming, pre- and post-conditions",X,hardcoding narrative arc,cpressey,2018-10-12T12:26:43Z,2019-01-10T12:09:48Z,https://github.com/NaNoGenMo/2018/issues/6
9,UFO Poems,,,poetry,poetry,Python,,,information retrieval,,,,kevinhowbrook,2018-10-14T18:32:36Z,2018-11-15T14:02:09Z,https://github.com/NaNoGenMo/2018/issues/9
10,Music to prose conversion,,,text,word art,"Python, bash",,,machine translation,,,,enkiv2,2018-10-15T17:28:22Z,2018-11-01T12:00:03Z,https://github.com/NaNoGenMo/2018/issues/10
11,The Pilgramage,X,,story,text,Python,-,ConceptNet.io/dkazemi-corpora/Gutenberg,"simulation, templates","simulation, templates",X,simulation,kleer001,2018-10-18T21:57:12Z,2018-11-28T01:28:20Z,https://github.com/NaNoGenMo/2018/issues/11
18,The Longest Corridor,X,,story,text,Python,Tracery,-,"simulation, templates","simulation, templates",X,simulation,LuRsT,2018-10-27T20:32:15Z,2018-12-01T14:31:23Z,https://github.com/NaNoGenMo/2018/issues/18
20,Project X,,,function definitions of R,list,R,,,information retrieval,,,,jwijffels,2018-10-28T19:47:05Z,2018-12-04T19:30:08Z,https://github.com/NaNoGenMo/2018/issues/20
22,"""Translating"" novels with sentence embeddings",X,,story,text,"Bash, Python",Facebook InferSent,Gutenberg,machine translation,"machine translation, sentence embeddings, word embeddings (remixing)",,,superMDguy,2018-10-29T17:38:51Z,2018-11-08T20:03:39Z,https://github.com/NaNoGenMo/2018/issues/22
26,Shadows: a concrete poetry zine,,,visual art,word art,Haskell,,,,,,,eq,2018-10-31T20:29:04Z,2018-12-01T23:45:41Z,https://github.com/NaNoGenMo/2018/issues/26
28,"""Angela's Claustrum"", a novel by Salvatore.",X,,story,text,"C, Ruby",,Gutenberg,statistical modeling,statistical modeling,,,kranzky,2018-11-01T02:37:49Z,2018-12-02T00:41:00Z,https://github.com/NaNoGenMo/2018/issues/28
30,"NaNoGenMo + NaNoLiPo = 50,000 Woofs",,,art,word art,,,,machine translation,,,,hugovk,2018-11-01T14:39:12Z,2018-11-10T12:24:40Z,https://github.com/NaNoGenMo/2018/issues/30
33,I Forced an AI to Watch Santa Claus Conquers the Martians,X,,story,text,Python,Microsoft Cognitive services,archive.org (DVD),"machine translation, image2text NLG","machine translation, image2text generation",X,,zachwhalen,2018-11-01T15:29:25Z,2018-12-02T05:53:39Z,https://github.com/NaNoGenMo/2018/issues/33
38,Asemic Novels,,,text,word art,,,,,,,,jseakle,2018-11-02T06:14:03Z,2018-11-02T16:16:35Z,https://github.com/NaNoGenMo/2018/issues/38
39,"Of Ork, Fae, Elf and Goblin",X,,story,text,,-,-,"simulation, templates","simulation, templates",X,simulation,shakna-israel,2018-11-02T08:38:46Z,2018-11-02T13:28:14Z,https://github.com/NaNoGenMo/2018/issues/39
43,Poetic botanicals field guide,,,poetry,poetry,Python,,,word substitution,,,,rmalusa72,2018-11-02T19:06:32Z,2018-11-25T17:33:34Z,https://github.com/NaNoGenMo/2018/issues/43
44,Words.,,,story,text,Bash,,Gutenberg,randomness,randomness,,,gauntletm,2018-11-03T12:47:55Z,2018-11-30T12:50:11Z,https://github.com/NaNoGenMo/2018/issues/44
50,A Couple of Rainy Day Novels,,,art,word art,Python,,,randomness,,,,zachwhalen,2018-11-06T16:03:54Z,2018-11-10T09:07:41Z,https://github.com/NaNoGenMo/2018/issues/50
57,Out of Nowhere,X,,play,text,PHP,Wordnet,archive.org (books),Answer-generation with information retrieval.,"Answer-generation, information retrieval, dialogue generation, simulation, templates",X,illusion,kevandotorg,2018-11-09T15:07:50Z,2018-12-01T13:13:29Z,https://github.com/NaNoGenMo/2018/issues/57
60,High Fantasy with Language Generator,X,,novel,text,"javascript, Node.js",Node.js,-,,"simulation, templates",X,simulation,Alamantus,2018-11-10T02:29:50Z,2018-11-30T22:11:48Z,https://github.com/NaNoGenMo/2018/issues/60
61,"The Valley Girl of Oz, Bjork Bjork Bjork",X,,dialogue,text,Lua,Lpeg,,machine translation,"machine translation, letter substitution",,,spc476,2018-11-10T03:10:27Z,2018-11-10T11:42:37Z,https://github.com/NaNoGenMo/2018/issues/61
62,Unheimlich / Ulysses Translation,,,novel w/ letter substitution,text,C,,,machine translation,letter substitution,,,jlee50,2018-11-10T08:19:49Z,2018-11-18T20:55:41Z,https://github.com/NaNoGenMo/2018/issues/62
64,NLP Neophyte: Hivemind Seeks Glitch,X,,novel,text,Python,Spacy,-,,"NLP (POS-tags), word substitution (remixing)",X,,scraptured,2018-11-10T08:49:52Z,2018-12-04T22:05:36Z,https://github.com/NaNoGenMo/2018/issues/64
65,Velvet Black Sky -- 100 stories from an alternate universe ,X,,novel of short chapters,text,"Java, Python",Spacy/CoreNLP/JuPyter/Mallet/Gensim,https://robineggsky.com/scifi.tar.gz,,"statistical modeling, n-grams, NLP, markov chains, topic modelling/clustering?",X,illusion,spenteco,2018-11-10T16:31:34Z,2018-11-15T15:38:44Z,https://github.com/NaNoGenMo/2018/issues/65
69,50 Thousand Fake Numbers With Normal Deviates,,,fake numbers,list,"python, Ruby",,,neural networks,,,,TheJhyde,2018-11-13T20:25:31Z,2018-11-16T20:16:25Z,https://github.com/NaNoGenMo/2018/issues/69
70,Fake grimoire!,,,witch spells,list,Python,,,templates,,,,ibromberg,2018-11-15T03:12:18Z,2018-12-01T13:52:11Z,https://github.com/NaNoGenMo/2018/issues/70
71,"""Did You Know..."", a poem collection in the style of William Carlos Williams",,,poetry,list,Python,,,information retrieval,,,,enkiv2,2018-11-15T14:34:26Z,2018-11-30T20:51:04Z,https://github.com/NaNoGenMo/2018/issues/71
72,Choose Your Adventure: Safari edition!,X,,"choose your own adventure, IF",game,PHP,,,"information retrieval, templates",,,,WhiteFangs,2018-11-15T17:32:20Z,2018-12-01T15:28:37Z,https://github.com/NaNoGenMo/2018/issues/72
73,CreepyPasta Generator,X,,text,text,Python,TorchRNN,creepypasta stories,neural networks,neural networks,,,Sleemanmunk,2018-11-15T22:20:22Z,2018-11-27T07:03:21Z,https://github.com/NaNoGenMo/2018/issues/73
74,Troll Talk,,,text,list,Python,,,word substitution,,,,mbwolff,2018-11-16T05:12:32Z,2018-11-16T09:04:44Z,https://github.com/NaNoGenMo/2018/issues/74
75,The Fall of the House of Alice,,,text,text,Python,Markovify,Gutenberg,markovchains,Markov chains,,,Mizzjaze,2018-11-17T14:40:40Z,2018-11-17T15:41:12Z,https://github.com/NaNoGenMo/2018/issues/75
76,Dungeons and Dragons character bios to make a bard weep,X,,text,text,"Lua, Python",TorchRNN,https://github.com/janelleshane/DnD_bios,neural networks (LSTM),neural networks (LSTM),X,illusion,janelleshane,2018-11-17T19:17:00Z,2018-11-17T19:23:21Z,https://github.com/NaNoGenMo/2018/issues/76
78,A Fantastical Dream,,,text,text,Python,Markovify,Gutenberg,markovchains,Markov chains,,,eafinto,2018-11-18T23:54:42Z,2018-12-01T03:14:56Z,https://github.com/NaNoGenMo/2018/issues/78
81,"Pride, Sensibility, and Emma...",,,text,text,Python,Markovify,Gutenberg,markovchains,Markov chains,,,ltpittman,2018-11-19T15:36:37Z,2018-11-19T15:49:42Z,https://github.com/NaNoGenMo/2018/issues/81
82,Burrows bookmaker (now: Where in Space Is My Friend???),,,picture book,visual art,"Node.js, javascript",,,visual generation,,,,jimkang,2018-11-21T17:50:27Z,2018-12-02T12:11:28Z,https://github.com/NaNoGenMo/2018/issues/82
83,The Defeat at Procyon V,X,,dialogue,text,Julia,-,-,"Answer-generation, templates","Answer-generation, templates",X,"hardcoding narrative elements (begin, end)",cpressey,2018-11-22T12:20:29Z,2019-01-10T12:10:31Z,https://github.com/NaNoGenMo/2018/issues/83
84,The cases are two,,,art/text,text,"Javascript, tracery",Tracery,https://github.com/dariusk/corpora,word substitution/randomness and templating,"word substitution, randomness,  templates",,,riccardocrosa,2018-11-23T20:37:36Z,2018-11-29T15:17:37Z,https://github.com/NaNoGenMo/2018/issues/84
85,Boring Tales From Tiny Places,,,description of scene,text,Javascript,"Tracery,RiTa",-,templates,templates,,,emmawinston,2018-11-24T12:48:34Z,2018-12-05T12:17:12Z,https://github.com/NaNoGenMo/2018/issues/85
86,"Doctor, doctor!",X,,dialogue,text,Javascript,-,Yahoo! Answers dataset https://ciir.cs.umass.edu/downloads/nfL6/,"templates, information retrieval","templates, information retrieval",,,danhett,2018-11-25T16:07:17Z,2018-11-25T17:35:58Z,https://github.com/NaNoGenMo/2018/issues/86
87,Acrostic explosion,,,Text / art (accrostic poems),poetry,Javascript,,,randomness,,,,WhistleOfTroy,2018-11-25T20:31:52Z,2018-12-01T14:11:23Z,https://github.com/NaNoGenMo/2018/issues/87
89,Not Your Average Ultra,X,,Story,text,Python,"NLTK, Markovify","Racereports from http://barkleymarathons.com/, experience reports from https://erowid.org/experiences/",markovchains,Markov chains,,hardcoding narrative elements,nmifsud,2018-11-28T21:58:37Z,2018-11-30T20:35:50Z,https://github.com/NaNoGenMo/2018/issues/89
90,Her Majesty's Aviary,,,inventory of birds,list,Unity,,,,,,,marcelop,2018-11-29T03:09:02Z,2018-11-30T18:48:18Z,https://github.com/NaNoGenMo/2018/issues/90
91,ETERLAN SEPTEBMER,,,random strings,word art,Befunge,,,,,,,cpressey,2018-11-29T16:04:22Z,2019-01-10T12:11:34Z,https://github.com/NaNoGenMo/2018/issues/91
92,A Pseudo-Philosophical Novel,,,paragraphs of aphorisms,list,Ruby,,,information retrieval,,,,tra38,2018-11-30T01:27:47Z,2018-12-01T14:01:45Z,https://github.com/NaNoGenMo/2018/issues/92
93,Make Shift ,,,paragraphs,text,Python,Spacy,Tvmaze api,sentiment analysis? ,"NLP, sentence similarity",,,knoxdw,2018-11-30T03:11:41Z,2018-11-30T13:03:06Z,https://github.com/NaNoGenMo/2018/issues/93
94,mechanical top-down novel generation,,,paragraphs,text,Python,NLTK,Gutenberg,Markov chains?,Markov chains,,,mattdmarch,2018-11-30T06:42:09Z,2018-11-30T21:58:39Z,https://github.com/NaNoGenMo/2018/issues/94
95,A CATALOGUE OF PHARMACEUTICAL DRUG NAMES,,,drug names; list,list,Python,,,"tracery, grammars, lexicon",,,,hugovk,2018-11-30T13:01:28Z,2018-12-02T05:24:12Z,https://github.com/NaNoGenMo/2018/issues/95
96,Textillating (output: Extremely Great Expectations),X,,"great expectations, version 2",text,Python,"NLTK, VADER, Wordnet",-,machine translation,"machine translation, word substitution",,,robincamille,2018-11-30T15:52:03Z,2018-12-01T13:39:23Z,https://github.com/NaNoGenMo/2018/issues/96
97,El Libro de la Arena M̩xico,,In spanish,,,Python,,,,,,,nickmontfort,2018-11-30T20:58:09Z,2018-12-01T14:02:39Z,https://github.com/NaNoGenMo/2018/issues/97
98,Un classique inconnu,,In french,,,,,,,,,,mbwolff,2018-11-30T23:27:56Z,2018-12-04T08:28:59Z,https://github.com/NaNoGenMo/2018/issues/98
99,"Sentence-level Markov model (or, reconstructing Moby-Dick using a neural network)",X,,"novel, moby dick scrambled",text,Python,"NLTK, tensorflow",-,"prediction with RNN, markov chain","prediction with RNN, markov chain",,,jeffbinder,2018-12-01T00:24:45Z,2018-12-02T13:34:19Z,https://github.com/NaNoGenMo/2018/issues/99
100,Wheel of Fortune,X,,"narrative, list of events, fabula",text,ML,-,-,templates,templates,X,illusion,chrisamaphone,2018-12-01T01:39:28Z,2018-12-01T14:19:03Z,https://github.com/NaNoGenMo/2018/issues/100
101,The Journal of Alexandria Alexander,X,,paragraphs,text,javascript,Tracery,https://github.com/dariusk/corpora,"grammars, templates, word substitution","grammars, templates, word substitution",,,mathias,2018-12-01T01:48:31Z,2018-12-03T14:33:45Z,https://github.com/NaNoGenMo/2018/issues/101
103,Imitating the Greats,,,text,text,python,-,Gutenberg,markov chains,markov chains,,,aaronfink01,2018-12-01T04:28:19Z,2018-12-01T14:29:43Z,https://github.com/NaNoGenMo/2018/issues/103
104,"Sherlock Shuffle, Winkie, and Vocabularycept #67",X,,,,,,,,,,,JKirchartz,2018-12-01T05:02:53Z,2018-12-03T14:59:11Z,https://github.com/NaNoGenMo/2018/issues/104
104.1,Sherlock Shuffle,X,,text,text,"Perl, bash, javascript",Tracery,Gutenberg,grammars,"NLP (POS-tags), templates, grammars",,,,,,
104.2,Winkie,X,,text,text,"Perl, bash, javascript","Wink.js, Tracery",Gutenberg,grammars,"NLP (POS-tags), templates, grammars",,,,,,
104.3,Vocabularycept,X,,poems,poetry,javascript,,,remixing,,,,,,,
105,Silk: A UCSC Project,,group project,novel,text,javascript,"Tracery, Lindenmayer for js, RiTa",-,grammars,grammars,X,,ikarth,2018-12-01T05:25:37Z,2018-12-01T19:09:19Z,https://github.com/NaNoGenMo/2018/issues/105
106,"Paradise Explained, Meaning Lost: A Nonsensically Annotated Edition of Milton's Epic",,,annotations,list,Python,,,"information retrieval, templates",,,,jrladd,2018-12-01T19:21:01Z,2018-12-01T19:46:27Z,https://github.com/NaNoGenMo/2018/issues/106
107,IS_IT_LOVE,,,text,text,Python,-,GoogleBooks,information retrieval,information retrieval,,,rchrdlln,2018-12-01T21:49:42Z,2018-12-02T07:47:37Z,https://github.com/NaNoGenMo/2018/issues/107
108,A Generative Book developed by CMU students,,group project,various,various,various,,,various,,,,golanlevin,2018-12-02T03:17:17Z,2018-12-05T01:29:20Z,https://github.com/NaNoGenMo/2018/issues/108
109,Walt Whitman Poetry + Web App,,,poetry,poetry,Python,,,deep learning,,,,btahir,2018-12-03T09:51:13Z,2018-12-03T10:04:09Z,https://github.com/NaNoGenMo/2018/issues/109
110,i've never picked a protected flower (concrete unicode poems),,,Poetry & word (ascii) art,poetry,"Python, Javascript",,,remixing,,,,doldrumorchids,2018-12-04T02:15:03Z,2019-01-25T04:59:39Z,https://github.com/NaNoGenMo/2018/issues/110
